order_id,customer_id,product,amount,order_date
1001,1,Mechanical Keyboard,129.99,2023-05-14
1002,1,Ergonomic Chair,349.50,2024-01-20
1003,2,Noise Cancelling Headphones,299.00,2024-12-01
1004,3,USB-C Hub,45.00,2023-02-15
1005,3,Monitor Stand,89.99,2023-06-10
1006,4,Wireless Mouse,59.95,2024-08-22
1007,5,Smartphone Case,25.00,2023-01-05
1008,5,Power Bank,49.99,2023-09-12
1009,5,Braided Charging Cable,15.50,2024-03-30
1010,6,Laptop Sleeve,35.00,2024-02-11
1011,7,4K Monitor,450.00,2023-11-20
1012,7,Webcam HD,79.00,2024-04-05
1013,8,Gaming Desk,210.00,2023-07-14
1014,9,External SSD 1TB,115.00,2025-01-20
1015,10,Bluetooth Speaker,85.00,2023-10-05
1016,11,Electric Kettle,45.99,2024-05-18
1017,11,Toaster Oven,120.00,2024-09-12
1018,12,Fitness Tracker,99.00,2023-01-15
1019,13,Yoga Mat,30.00,2024-06-22
1020,13,Adjustable Dumbbells,299.99,2024-10-05
1021,14,Desk Lamp,55.00,2023-04-18
1022,15,Air Purifier,189.00,2024-03-12
1023,16,Coffee Grinder,65.00,2023-08-25
1024,16,French Press,35.50,2024-01-11
1025,17,Tablet Pen,95.00,2024-12-15
1026,18,Throw Blanket,40.00,2023-12-20
1027,19,Indoor Plant Pot,22.00,2024-07-07
1028,19,Succulent Set,45.00,2024-09-30
1029,20,Leather Wallet,55.00,2023-02-28
1030,21,Backpack,85.00,2024-12-10
1031,22,Winter Jacket,149.00,2023-11-15
1032,23,Running Shoes,110.00,2024-01-05
1033,24,Travel Pillow,25.00,2023-06-22
1034,25,Smart Bulb 4-pack,45.99,2024-05-14
1035,26,Kindle E-reader,139.00,2023-09-01
1036,27,Fountain Pen,65.00,2024-02-18
1037,28,Cast Iron Skillet,50.00,2023-03-12
1038,29,Gourmet Coffee Beans,28.00,2024-10-25
1039,30,Scented Candle,18.50,2023-07-09
1040,31,Microwave,110.00,2024-04-30
1041,32,Blender,89.00,2023-10-14
1042,33,Rice Cooker,65.99,2024-11-05
1043,34,Memory Foam Pillow,45.00,2023-12-01
1044,35,Microfiber Towel Set,25.00,2024-08-15
1045,36,Standing Desk Converter,175.00,2023-05-20
1046,37,Electric Toothbrush,75.00,2024-12-12
1047,38,Water Filter Pitcher,35.00,2023-01-10
1048,39,Chef's Knife,120.00,2024-06-05
1049,40,Wall Clock,30.00,2023-08-18
1050,41,Wireless Earbuds,150.00,2025-01-10
1051,42,Bookcase,220.00,2023-03-30
1052,43,Office Rug,140.00,2024-09-22
1053,44,Cable Management Box,25.00,2023-11-05
1054,45,Hiking Boots,135.00,2024-10-18
1055,46,Binoculars,95.00,2023-04-25
1056,47,Duffle Bag,65.00,2024-02-01
1057,48,Handheld Vacuum,85.00,2023-07-22
1058,49,Tool Kit,110.00,2024-12-28
1059,50,Headlamp,25.00,2023-10-10
1060,51,Smart Plug,15.99,2024-05-05
1061,52,Electric Drill,145.00,2023-12-15
1062,53,Outdoor Lantern,35.00,2024-07-30
1063,54,Tent 2-Person,180.00,2023-06-18
1064,55,Sleeping Bag,75.00,2024-01-25
1065,56,Camping Stove,45.00,2023-09-12
1066,57,Rain Jacket,95.00,2024-11-11
1067,58,Bike Helmet,65.00,2023-03-05
1068,59,U-Lock,45.00,2024-04-20
1069,60,Bike Pump,30.00,2023-08-01
1070,61,Hydration Pack,55.00,2024-10-05
1071,62,Sunglasses,125.00,2023-05-12
1072,63,Beanie,15.00,2024-12-22
1073,64,Wool Socks,22.00,2023-11-28
1074,65,Humidifier,45.00,2025-01-05
1075,66,Soundbar,250.00,2023-02-15
1076,67,Streaming Stick,49.99,2024-09-14
1077,68,HDMI Cable,12.00,2023-07-05
1078,69,Phone Tripod,25.00,2024-03-18
1079,70,Ring Light,45.00,2023-10-22
1080,71,Microphone,130.00,2024-06-30
1081,72,Green Screen,85.00,2023-01-25
1082,73,External HDD 2TB,89.00,2024-11-20
1083,74,Wireless Presenter,35.00,2023-04-05
1084,75,Printer,199.00,2024-08-12
1085,76,Ink Cartridge,55.00,2023-09-30
1086,77,Paper Shredder,85.00,2024-05-18
1087,78,Whiteboard,45.00,2023-12-10
1088,79,Cork Board,25.00,2024-02-22
1089,80,Desk Organizer,20.00,2023-06-01
1090,81,Lap Desk,35.00,2024-10-15
1091,82,Monitor Light Bar,75.00,2023-03-18
1092,83,USB-C Cable,15.00,2024-07-12
1093,84,Webcam Privacy Cover,9.99,2023-11-25
1094,85,Mouse Pad,15.00,2024-12-05
1095,86,Laptop Stand,35.00,2023-05-30
1096,87,Keyboard Brush,12.00,2024-01-15
1097,88,Compressed Air,15.00,2023-08-10
1098,89,Screen Cleaner,12.00,2024-09-05
1099,90,Anti-Static Wrist Strap,10.00,2023-12-28
1100,999,Ghost Product,99.99,2024-01-01
1101,888,Null,45.50,2023-12-15